Timestamp,RPM,Speed,Throttle,BrakePressure,Gear,OilPressure,EngineTemp,BatteryVoltage,EngineOn
10640,7000,54,102,0,5,90,111,140,1
10650,7000,55,102,0,5,90,111,140,1
10660,7000,56,102,0,5,90,111,140,1
10670,7000,57,102,0,5,90,111,140,1
10680,7000,58,102,0,5,90,111,140,1
10690,7000,59,102,0,5,90,111,140,1
10700,7000,60,102,0,5,90,111,140,1
10710,7000,61,102,0,5,90,111,140,1
10720,7000,62,102,0,5,90,111,140,1
10730,7000,63,102,0,5,90,111,140,1
10740,7000,64,102,0,5,90,111,140,1
10750,7000,65,102,0,5,90,111,140,1
10760,7000,66,102,0,5,90,111,140,1
10770,7000,67,102,0,5,90,111,140,1
10780,7000,68,102,0,5,90,111,140,1
10790,7000,69,102,0,5,90,111,140,1
10800,7000,70,102,0,5,90,111,140,1
10810,7000,70,102,0,5,90,111,140,1
10820,7000,70,102,0,5,90,111,140,1
10830,7000,70,102,0,5,90,111,140,1
10840,7000,70,102,0,5,90,111,140,1
10850,7000,70,102,0,5,90,111,140,1
10860,7000,70,102,0,5,90,111,140,1
10870,7000,70,102,0,5,90,111,140,1
10880,7000,70,102,0,5,90,111,140,1
10890,7000,70,102,0,5,90,111,140,1
10900,7000,70,102,0,5,90,111,140,1
10910,7000,70,102,0,5,90,111,140,1
10920,7000,70,102,0,5,90,111,140,1
10930,7000,70,102,0,5,90,111,140,1
10940,7000,70,102,0,5,90,111,140,1
10950,7000,70,102,0,5,90,111,140,1
10960,7000,70,102,0,5,90,111,140,1
10970,7000,70,102,0,5,90,111,140,1
10980,7000,70,102,0,5,90,111,140,1
10990,7000,70,102,0,5,90,111,140,1
11000,7000,63,97,20,5,90,111,140,1
11010,7000,51,92,40,5,90,111,140,1
11020,7000,36,87,60,5,90,111,140,1
11030,7000,22,82,80,5,90,111,140,1
11040,7000,20,77,100,5,90,111,140,1
11050,7000,20,72,100,5,90,111,140,1
11060,7000,20,67,100,5,90,111,140,1
11070,7000,20,62,100,5,90,111,140,1
11080,7000,20,57,100,5,90,111,140,1
11090,7000,20,52,100,5,90,111,140,1
11100,7000,20,47,100,5,90,111,140,1
11110,7000,20,42,100,5,90,111,140,1
11120,7000,20,37,100,5,90,111,140,1
11130,7000,20,32,100,5,90,111,140,1
11140,7000,20,27,100,5,90,111,140,1
11150,7000,20,22,100,5,90,111,140,1
11160,7000,20,17,100,5,90,111,140,1
11170,7000,20,12,100,5,90,111,140,1
11180,7000,20,7,100,5,90,111,140,1
11190,7000,20,2,100,5,90,111,140,1
11200,7000,20,100,100,5,90,111,140,1
11210,7000,20,95,100,5,90,111,140,1
11220,7000,20,90,100,5,90,111,140,1
11230,7000,20,85,100,5,90,111,140,1
11240,7000,20,80,100,5,90,111,140,1
11250,7000,20,75,100,5,90,111,140,1
11260,7000,20,70,100,5,90,111,140,1
11270,7000,20,65,100,5,90,111,140,1
11280,7000,20,60,100,5,90,111,140,1
11290,7000,20,55,100,5,90,111,140,1
11300,7000,20,50,100,5,90,111,140,1
11310,7000,20,45,100,5,90,111,140,1
11320,7000,20,40,100,5,90,111,140,1
11330,7000,20,35,100,5,90,111,140,1
11340,7000,20,30,100,5,90,111,140,1
11350,7000,20,25,100,5,90,111,140,1
